rehearse	リハーサルをする、暗唱（復唱）する
limp	"片足をひきづる、のろのろ進む、もたつく<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">have [<a href=""https://ejje.weblio.jp/content/walk+with"">walk with</a>] a&nbsp;limp</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%89%87%E8%B6%B3%E3%82%92%E5%BC%95%E3%81%8D%E3%81%9A%E3%81%A3%E3%81%A6%E6%AD%A9%E3%81%8F"">片足を引きずって歩く</a>.</span><br></div>"
giggle	（声を出さずに）くすくす笑う
grin	（歯をむき出して）にたにた笑う
chuckle	くすくす笑う
snicker	冷笑する
disgrace	"（名を）汚す、恥<div>disgrace oneselfで恥をかく&nbsp;</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/bring"">bring</a>&nbsp;disgrace&nbsp;<a href=""https://ejje.weblio.jp/content/on+one"">on one</a><a href=""https://ejje.weblio.jp/content/%27s"">'s</a>&nbsp;<a href=""https://ejje.weblio.jp/content/family"">family</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%AE%B6%E5%90%8D%E3%82%92%E6%B1%9A%E3%81%99"">家名を汚す</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Do+not"">Do not</a>&nbsp;disgrace&nbsp;the [your]&nbsp;<a href=""https://ejje.weblio.jp/content/family"">family</a>&nbsp;name.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%AE%B6%E5%90%8D"">家名</a>を<a href=""https://ejje.weblio.jp/content/%E8%BE%B1%E3%81%97%E3%82%81"">辱しめ</a>る<a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%86%E3%81%AA"">ような</a>ことは<a href=""https://ejje.weblio.jp/content/%E3%81%97%E3%81%A6%E3%81%AF%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84"">してはならない</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/divorce"">divorce</a>&nbsp;was a&nbsp;disgrace&nbsp;<a href=""https://ejje.weblio.jp/content/to+the"">to the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/royal"">royal</a>&nbsp;family.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">その<a href=""https://ejje.weblio.jp/content/%E9%9B%A2%E5%A9%9A"">離婚</a>は<a href=""https://ejje.weblio.jp/content/%E7%8E%8B%E5%AE%A4%E3%81%AE"">王室の</a><a href=""https://ejje.weblio.jp/content/%E6%81%A5"">恥</a><a href=""https://ejje.weblio.jp/content/%E3%81%A0%E3%81%A3%E3%81%9F"">だった</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
nervous	"神経質な、ビクビクして<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/get"">get</a>&nbsp;nervous</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%9D%E3%82%8F%E3%81%9D%E3%82%8F%E3%81%99%E3%82%8B"">そわそわする</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%8C%E3%82%8B"">あがる</a>.</span><br></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/make"">make</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a>&nbsp;nervous</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E3%82%92%E5%BF%83%E9%85%8D%E3%81%95%E3%81%9B%E3%82%8B"">人を心配させる</a>;&nbsp;<a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E3%82%92%E3%81%84%E3%82%89%E3%81%84%E3%82%89%E3%81%95%E3%81%9B%E3%82%8B"">人をいらいらさせる</a>.</div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/has+a"">has a</a>&nbsp;nervous&nbsp;disposition.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E7%A5%9E%E7%B5%8C%E8%B3%AA%E3%81%A0"">神経質だ</a>.</div></div><div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/She%27s"">She's</a>&nbsp;nervous&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/going+out"">going out</a>&nbsp;<a href=""https://ejje.weblio.jp/content/at"">at</a>&nbsp;night.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%81%AF"">彼女は</a><a href=""https://ejje.weblio.jp/content/%E5%A4%9C%E3%81%AE"">夜の</a><a href=""https://ejje.weblio.jp/content/%E5%A4%96%E5%87%BA"">外出</a>を<a href=""https://ejje.weblio.jp/content/%E6%80%96%E3%81%8C%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B"">怖がっている</a>.</div></div><div><div><span style=""font-weight: bold;"">I&nbsp;<a href=""https://ejje.weblio.jp/content/felt"">felt</a>&nbsp;nervous&nbsp;about the result.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%81%9D%E3%81%AE%E7%B5%90%E6%9E%9C"">その結果</a>に<a href=""https://ejje.weblio.jp/content/%E4%B8%8D%E5%AE%89"">不安</a>を<a href=""https://ejje.weblio.jp/content/%E6%84%9F%E3%81%98%E3%81%9F"">感じた</a>.</div></div></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;was&nbsp;nervous&nbsp;that the&nbsp;<a href=""https://ejje.weblio.jp/content/reviewers"">reviewers</a>&nbsp;might&nbsp;<a href=""https://ejje.weblio.jp/content/attack"">attack</a>&nbsp;him again.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E6%9B%B8%E8%A9%95%E5%AE%B6"">書評家</a>たちがまた<a href=""https://ejje.weblio.jp/content/%E8%87%AA%E5%88%86%E3%82%92"">自分を</a><a href=""https://ejje.weblio.jp/content/%E6%94%BB%E6%92%83%E3%81%99%E3%82%8B"">攻撃する</a><a href=""https://ejje.weblio.jp/content/%E3%81%A7%E3%81%82%E3%82%8D%E3%81%86%E3%81%A8"">であろうと</a><a href=""https://ejje.weblio.jp/content/%E3%81%B3%E3%81%8F%E3%81%B3%E3%81%8F%E3%81%97%E3%81%A6"">びくびくして</a>いた.</span><br></div>"
stunt	（動）発育を妨げる、（名）妙技、人目を引くための行動
kidney	腎臓
retard	"（発育などを）遅らせる、阻止する、妨害する<div>retardationで遅延、阻止、妨害、知能発達の遅れ<br><div><div><img src=""paste-dd41f7cbac4e025b07389eb6c64e0bcb69e351fa.jpg""><br></div><div><img src=""paste-868d05901f393886e1ea8ac5d3f49c83d27117c8.jpg""><br></div><div><img src=""paste-ac4ef46c66131527c0e88a5e54ae2496a74f3a19.jpg""></div></div></div>"
coma	昏睡
nerve	神経、精神力、勇気、勇気づける
joint	ふし、継ぎ目、関節
welding	溶接
timid	臆病な、小心な、おどおどして
awkward	"決まりが悪い、ぎこちない、不器用な、厄介な、扱いにくい<div><img src=""paste-1b3bada40f05f5890403f28f58ef5021d0fcd78d.jpg""><br></div>"
predatory	捕食
instinct	本能、直感
impulse	一時の感情、衝動
collocate	"一緒に並べる、連語をなす、（一定の順序に）配列する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+words"">The words</a>&nbsp;‘<a href=""https://ejje.weblio.jp/content/glad"">glad</a>' and ‘<a href=""https://ejje.weblio.jp/content/person"">person</a>'&nbsp;<a href=""https://ejje.weblio.jp/content/do+not"">do not</a>&nbsp;collocate.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">‘<a href=""https://ejje.weblio.jp/content/glad"">glad</a>' と ‘<a href=""https://ejje.weblio.jp/content/person"">person</a>' は<a href=""https://ejje.weblio.jp/content/%E9%80%A3%E8%AA%9E"">連語</a>に<a href=""https://ejje.weblio.jp/content/%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84"">ならない</a>.</span><br></div>"
assort	"類別する、各種取り揃える、調和する<div><img src=""paste-976d32849073279e57ee45846f9f3b424f7569e0.jpg""><br></div>"
revamp	改良する、改訂する
ramble	"ぶらぶら歩く<div><img src=""スクリーンショット 2021-01-09 21.58.38.png""><br></div>"
stray	"迷い込む、はぐれる、さまよう、それる<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">Our&nbsp;<a href=""https://ejje.weblio.jp/content/sheep"">sheep</a>&nbsp;have&nbsp;<a href=""https://ejje.weblio.jp/content/strayed"">strayed</a>&nbsp;from the fold.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%88%91%E3%80%85%E3%81%AE"">我々の</a><a href=""https://ejje.weblio.jp/content/%E7%BE%8A"">羊</a>は<a href=""https://ejje.weblio.jp/content/%E7%BE%A4%E3%82%8C"">群れ</a>からはぐれ<a href=""https://ejje.weblio.jp/content/%E3%81%A6%E3%81%97%E3%81%BE%E3%81%A3%E3%81%9F"">てしまった</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Don%27t"">Don't</a>&nbsp;<a href=""https://ejje.weblio.jp/content/let"">let</a>&nbsp;<a href=""https://ejje.weblio.jp/content/the+children"">the children</a>&nbsp;stray&nbsp;into the woods.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%AD%90%E4%BE%9B%E3%81%9F%E3%81%A1"">子供たち</a>を<a href=""https://ejje.weblio.jp/content/%E6%A3%AE%E3%81%AE"">森の</a><a href=""https://ejje.weblio.jp/content/%E4%B8%AD%E3%81%AB"">中に</a><a href=""https://ejje.weblio.jp/content/%E8%BF%B7%E3%81%84"">迷い</a><a href=""https://ejje.weblio.jp/content/%E8%BE%BC"">込</a><a href=""https://ejje.weblio.jp/content/%E3%81%BE%E3%81%9B%E3%82%8B"">ませる</a>な.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
roam	"ぶらぶら歩く<div><img src=""スクリーンショット 2021-01-09 21.58.38.png""><br></div>"
medication	薬剤
prevention	予防、防止
retain	"保持する、保つ、記憶している<div><img src=""paste-8eb671a27cdc07072281a9f0f0056eef84cb7a76.jpg""><br></div>"
iron	鉄<div>ironが成分としての鉄、そこから作られるのがsteel、metalは金属全体を指すイメージ<br></div>
calcium	カルシウム
zinc	亜鉛
officious	"お節介な、差し出がましい、非公式の<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">officious&nbsp;<a href=""https://ejje.weblio.jp/content/interference"">interference</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%8A%E3%81%9B%E3%81%A3%E3%81%8B%E3%81%84%E3%81%AA%E5%B9%B2%E6%B8%89"">おせっかいな干渉</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;<a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;officious&nbsp;<a href=""https://ejje.weblio.jp/content/capacity"">capacity</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%9D%9E%E5%85%AC%E5%BC%8F%E3%81%AE"">非公式の</a><a href=""https://ejje.weblio.jp/content/%E8%B3%87%E6%A0%BC%E3%81%A7"">資格で</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
reinforce	強化する、補強する
diplomacy	外交
fasten	（ベルトなどを）締める
rainfall	降雨
observatory	観測所、気象台、天文台
herbivore	草食動物
lava	溶岩
larva	幼虫
adopt	採用する
proposal	"提案、申し込み<div>propositionで提案、命題</div><div><img src=""paste-0c6dba5b59028fc058ae6a89b144038fa8c86944.jpg""><br></div>"
vibration	振動
fireplace	暖炉
folk	群衆、人々、家族、民俗の
carve	刻む
exclaim	叫ぶ、非難する
grass	草原、芝生、牧草
undertake	引き受ける、着手する、取り掛かる、請け負う
fond	好んで（be fond of -）
scholar	学者
broad	広い
affluent	"豊富な<div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/live+in"">live in</a>&nbsp;affluent&nbsp;<a href=""https://ejje.weblio.jp/content/circumstances"">circumstances</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E8%A3%95%E7%A6%8F%E3%81%AA"">裕福な</a><a href=""https://ejje.weblio.jp/content/%E5%A2%83%E9%81%87"">境遇</a>で<a href=""https://ejje.weblio.jp/content/%E6%9A%AE%E3%82%89%E3%81%99"">暮らす</a>.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/The+land"">The land</a>&nbsp;<a href=""https://ejje.weblio.jp/content/is"">is</a>&nbsp;affluent&nbsp;<a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;<a href=""https://ejje.weblio.jp/content/natural"">natural</a>&nbsp;resources.</span>&nbsp;その<a href=""https://ejje.weblio.jp/content/%E5%9C%9F%E5%9C%B0"">土地</a>は<a href=""https://ejje.weblio.jp/content/%E5%A4%A9%E7%84%B6%E8%B3%87%E6%BA%90"">天然資源</a>が<a href=""https://ejje.weblio.jp/content/%E8%B1%8A%E5%AF%8C%E3%81%A0"">豊富だ</a>.</div></div></div>"
saw	ノコギリ
parcel	小包
the navy	海軍
odor	匂い（主に悪臭）、xx風の (an odor of antiquity)
scent	（良い）香り、手がかり、嗅覚、気配、香水
brochure	小冊子、パンフレット
calm	穏やかな、静かな、落ち着いた
clerk	事務員、フロント係
sculpture	彫刻
habitat	生息域、住居
tissue	（細胞の）組織
aroma	芳香、香り、気品
resemble	似ている
blow	"（風が）吹く、（鼻を）かむ、爆発する、殴打、打撃<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The papers&nbsp;blew&nbsp;away in [on] the wind.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">書類が風に吹き飛ばされた.</span><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/railroad+tracks"">railroad tracks</a>&nbsp;were&nbsp;<a href=""https://ejje.weblio.jp/content/blown"">blown</a>&nbsp;<a href=""https://ejje.weblio.jp/content/up"">up</a>&nbsp;with dynamite.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%89%84%E9%81%93%E7%B7%9A%E8%B7%AF"">鉄道線路</a>は<a href=""https://ejje.weblio.jp/content/%E3%83%80%E3%82%A4%E3%83%8A%E3%83%9E%E3%82%A4%E3%83%88"">ダイナマイト</a>で<a href=""https://ejje.weblio.jp/content/%E7%88%86%E7%A0%B4"">爆破</a><a href=""https://ejje.weblio.jp/content/%E3%81%95%E3%82%8C%E3%81%9F"">された</a>.</span><br></div>"
excuse	許す、言い訳
priest	聖職者
resume	再開する、レジュメ
distant	"遠い<div><img src=""paste-3238078f31ecffabf68fd0f27ffc61bf8cf17367.jpg""><br></div>"
maize	とうもろこし
channel	チャンネル、海峡
BCE	紀元前
honor	名誉、尊敬
halt	立ち止まる、停止させる、停止、休止
gene	遺伝子
airflow	気流
succeed	"成功する、後を継ぐ<div>successiveで連続する、次の</div><div><img src=""paste-0d3058799587a24cd555c9e604424a5198eff4d5.jpg""><br></div>"
elect	選挙する、選ぶ<div>erectは（動）直立させる、建設する、（形）直立の</div>
carnivore	肉食動物
feed	餌をやる、養う
summit	頂上、首脳会議
shallow	浅い
garment	衣服、衣服の一点
governor	知事、総裁、長官
trap	罠を仕掛ける、捕まえる、閉じ込める、騙す
shortly	簡単に、無愛想に、間も無く
offend	"怒らせる、気分を損なう、（法律などに）そむく、破る<div><img src=""paste-151ed5cfc50d71352b8ae1b56979c909f6bf51be.jpg""><br></div>"
wind up	苛立たせる、悩ませる
faithful	忠実な、誠実な
sociable	社交的な
bay	湾
load	積荷、負担、（荷物などを）積む
rhythm	リズム
debrief	"<div>報告を受ける、情報を聞き出す<br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/released"">released</a>&nbsp;<a href=""https://ejje.weblio.jp/content/hostages"">hostages</a>&nbsp;were&nbsp;<a href=""https://ejje.weblio.jp/content/debriefed"">debriefed</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%A7%A3%E6%94%BE%E3%81%95%E3%82%8C%E3%81%9F"">解放された</a><a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E8%B3%AA"">人質</a>は<a href=""https://ejje.weblio.jp/content/%E4%BA%8B%E6%83%85"">事情</a>を<a href=""https://ejje.weblio.jp/content/%E8%81%9E"">聞</a>かれた</span><br></div>"
